-0.00230407,1.43102
-0.00205323,
0.00346943,1.42525
0.00501783,
0.00924293,1.41947
0.0120889,
0.0150164,1.4137
0.01916,
0.0207899,1.40793
0.026231,
0.0265634,1.40215
0.0323369,1.39638
0.0333021,
0.0381104,1.39061
0.0403732,
0.043884,1.38483
0.0474442,
0.0496575,1.37906
0.0545153,
0.055431,1.37329
0.0612045,1.36751
0.0615864,
0.066978,1.36174
0.0686575,
0.0727515,1.35597
0.0757285,
0.078525,1.35019
0.0827996,
0.0842985,1.34442
0.0898707,
0.090072,1.33864
0.0958455,1.33287
0.0969417,
0.101619,1.3271
0.104013,
0.107392,1.32132
0.111084,
0.113166,1.31555
0.118155,
0.118939,1.30978
0.124713,1.304
0.125226,
0.130487,1.29823
0.132297,
0.13626,1.29246
0.139368,
0.142034,1.28668
0.146439,
0.147807,1.28091
0.15351,
0.153581,1.27514
0.159354,1.26936
0.160581,
0.165128,1.26359
0.167652,
0.170901,1.25782
0.174723,
0.176675,1.25204
0.181795,
0.182448,1.24627
0.188222,1.2405
0.188866,
0.193995,1.23472
0.195937,
0.199769,1.22895
0.203008,
0.205542,1.22317
0.210079,
0.211316,1.2174
0.217089,1.21163
0.21715,
0.222863,1.20585
0.224221,
0.228636,1.20008
0.231292,
0.23441,1.19431
0.238363,
0.240183,1.18853
0.245434,
0.245957,1.18276
0.25173,1.17699
0.252505,
0.257504,1.17121
0.259576,
0.263277,1.16544
0.266647,
0.269051,1.15967
0.273718,
0.274824,1.15389
0.280598,1.14812
0.28079,
0.286371,1.14235
0.287861,
0.292145,1.13657
0.294932,
0.297918,1.1308
0.302003,
0.303692,1.12502
0.309074,
0.309465,1.11925
0.315239,1.11348
0.316145,
0.321012,1.1077
0.323216,
0.326786,1.10193
0.330287,
0.332559,1.09616
0.337358,
0.338333,1.09038
0.344106,1.08461
0.344429,
0.34988,1.07884
0.3515,
0.355653,1.07306
0.358571,
0.361427,1.06729
0.365642,
0.3672,1.06152
0.372713,
0.372974,1.05574
0.378747,1.04997
0.379784,
0.384521,1.0442
0.386856,
0.390294,1.03842
0.393927,
0.396068,1.03265
0.400998,
0.401841,1.02688
0.407615,1.0211
0.408069,
0.413388,1.01533
0.41514,
0.419162,1.00955
0.422211,
0.424935,1.00378
0.429282,
0.430709,0.998008
0.436353,
0.436482,0.992234
0.442256,0.986461
0.443424,
0.448029,0.980687
0.450495,
0.453803,0.974914
0.457566,
0.459576,0.96914
0.464637,
0.46535,0.963367
0.471123,0.957593
0.471708,
0.476897,0.95182
0.478779,
0.48267,0.946046
0.48585,
0.488444,0.940273
0.492914,
0.494208,0.934495
0.5,0.92873
0.5,0.92873
0.5,
0.505755,0.922948
0.511538,0.917179
0.517311,0.911405
0.523085,0.905632
0.528858,0.899858
0.534632,0.894085
0.540405,0.888311
0.546179,0.882538
0.551952,0.876764
0.557726,0.870991
0.563499,0.865217
0.569273,0.859444
0.575046,0.85367
0.58082,0.847897
0.586593,0.842123
0.592367,0.83635
0.59814,0.830576
0.603914,0.824803
0.609687,0.819029
0.615461,0.813256
0.621234,0.807482
0.627008,0.801709
0.632781,0.795935
0.638555,0.790162
0.644328,0.784388
0.650102,0.778615
0.655875,0.772841
0.661649,0.767068
0.667422,0.761294
0.673196,0.755521
0.678969,0.749747
0.684743,0.743974
0.690516,0.7382
0.69629,0.732427
0.702063,0.726653
0.707837,0.72088
0.71361,0.715106
0.719384,0.709333
0.725157,0.703559
0.730931,0.697786
0.736704,0.692012
0.742478,0.686239
0.748251,0.680465
0.754025,0.674692
0.759798,0.668918
0.765572,0.663145
0.771345,0.657371
0.777119,0.651598
0.782892,0.645824
0.788666,0.640051
0.794439,0.634277
0.800213,0.628504
0.805986,0.62273
0.81176,0.616957
0.817533,0.611183
0.823307,0.60541
0.82908,0.599636
0.834854,0.593863
0.840627,0.588089
0.846401,0.582316
0.852174,0.576542
0.857948,0.570769
0.863721,0.564995
0.869495,0.559222
0.875268,0.553448
0.881042,0.547675
0.886815,0.541901
0.892589,0.536128
0.898362,0.530354
0.904136,0.524581
0.909909,0.518807
0.915683,0.513034
0.921456,0.50726
0.92723,0.501487
