0.00266532 0 0 2 2 6
0.00266532 0 0 2 2 6
0.00266532 0 0 2 2 6
0.00266532 0 0 2 2 6
0.00266532 0 0 2 2 6
0.00266532 0.2 0.2 2 2 6
0.00266542 0.200223 0.200223 2 2 6
0.00266561 0.200669 0.200669 2 2 6
0.0026658 0.201116 0.201116 2 2 6
0.00266599 0.201563 0.201563 2 2 6
0.00266619 0.202011 0.202011 2 2 6
0.00266638 0.20246 0.20246 2 2 6
0.00266657 0.202909 0.202909 2 2 6
0.00266676 0.203358 0.203358 2 2 6
0.00266695 0.203808 0.203808 2 2 6
0.00266714 0.204259 0.204259 2 2 6
0.00266733 0.20471 0.20471 2 2 6
0.00266753 0.205162 0.205162 2 2 6
0.00266772 0.205614 0.205614 2 2 6
0.00266791 0.206067 0.206067 2 2 6
0.0026681 0.206521 0.206521 2 2 6
0.00266829 0.206975 0.206975 2 2 6
0.00266848 0.207429 0.207429 2 2 6
0.00266867 0.207884 0.207884 2 2 6
0.00266886 0.208339 0.208339 2 2 6
0.00266904 0.208795 0.208795 2 2 6
0.00266923 0.209252 0.209252 2 2 6
0.00266942 0.209709 0.209709 2 2 6
0.00266961 0.210166 0.210166 2 2 6
0.0026698 0.210624 0.210624 2 2 6
0.00266999 0.211083 0.211083 2 2 6
0.00267018 0.211542 0.211542 2 2 6
0.00267036 0.212001 0.212001 2 2 6
0.00267055 0.212461 0.212461 2 2 6
0.00267074 0.212921 0.212921 2 2 6
0.00267093 0.213382 0.213382 2 2 6
0.00267111 0.213844 0.213844 2 2 6
0.0026713 0.214305 0.214305 2 2 6
0.00267149 0.214768 0.214768 2 2 6
0.00267167 0.21523 0.21523 2 2 6
0.00267186 0.215694 0.215694 2 2 6
0.00267205 0.216157 0.216157 2 2 6
0.00267223 0.216621 0.216621 2 2 6
0.00267242 0.217086 0.217086 2 2 6
0.0026726 0.217551 0.217551 2 2 6
0.00267279 0.218016 0.218016 2 2 6
0.00267297 0.218482 0.218482 2 2 6
0.00267316 0.218948 0.218948 2 2 6
0.00267334 0.219415 0.219415 2 2 6
0.00267353 0.219882 0.219882 2 2 6
0.00267371 0.22035 0.22035 2 2 6
0.0026739 0.220818 0.220818 2 2 6
0.00267408 0.221286 0.221286 2 2 6
0.00267427 0.221755 0.221755 2 2 6
0.00267445 0.222224 0.222224 2 2 6
0.00267463 0.222694 0.222694 2 2 6
0.00267482 0.223164 0.223164 2 2 6
0.002675 0.223634 0.223634 2 2 6
0.00267518 0.224105 0.224105 2 2 6
0.00267537 0.224576 0.224576 2 2 6
0.00267555 0.225048 0.225048 2 2 6
0.00267573 0.22552 0.22552 2 2 6
0.00267592 0.225992 0.225992 2 2 6
0.0026761 0.226465 0.226465 2 2 6
0.00267628 0.226938 0.226938 2 2 6
0.00267646 0.227411 0.227411 2 2 6
0.00267664 0.227885 0.227885 2 2 6
0.00267683 0.228359 0.228359 2 2 6
0.00267701 0.228834 0.228834 2 2 6
0.00267719 0.229309 0.229309 2 2 6
0.00267737 0.229784 0.229784 2 2 6
0.00267755 0.23026 0.23026 2 2 6
0.00267773 0.230736 0.230736 2 2 6
0.00267792 0.231212 0.231212 2 2 6
0.0026781 0.231689 0.231689 2 2 6
0.00267828 0.232166 0.232166 2 2 6
0.00267846 0.232643 0.232643 2 2 6
0.00267864 0.233121 0.233121 2 2 6
0.00267882 0.233599 0.233599 2 2 6
0.002679 0.234078 0.234078 2 2 6
0.00267918 0.234556 0.234556 2 2 6
0.00267936 0.235036 0.235036 2 2 6
0.00267954 0.235515 0.235515 2 2 6
0.00267972 0.235995 0.235995 2 2 6
0.0026799 0.236475 0.236475 2 2 6
0.00268008 0.236955 0.236955 2 2 6
0.00268026 0.237436 0.237436 2 2 6
0.00268044 0.237917 0.237917 2 2 6
0.00268062 0.238398 0.238398 2 2 6
0.0026808 0.23888 0.23888 2 2 6
0.00268097 0.239361 0.239361 2 2 6
0.00268115 0.239844 0.239844 2 2 6
0.00268133 0.240326 0.240326 2 2 6
0.00268151 0.240809 0.240809 2 2 6
0.00268169 0.241292 0.241292 2 2 6
0.00268187 0.241775 0.241775 2 2 6
0.00268204 0.242259 0.242259 2 2 6
0.00268222 0.242743 0.242743 2 2 6
0.0026824 0.243227 0.243227 2 2 6
0.00268258 0.243712 0.243712 2 2 6
0.00268276 0.244197 0.244197 2 2 6
0.00268293 0.244682 0.244682 2 2 6
0.00268311 0.245167 0.245167 2 2 6
0.00268329 0.245653 0.245653 2 2 6
0.00268347 0.246138 0.246138 2 2 6
0.00268364 0.246625 0.246625 2 2 6
0.00268382 0.247111 0.247111 2 2 6
0.002684 0.247598 0.247598 2 2 6
0.00268417 0.248085 0.248085 2 2 6
0.00268435 0.248572 0.248572 2 2 6
0.00268453 0.249059 0.249059 2 2 6
0.0026847 0.249547 0.249547 2 2 6
0.00268488 0.250035 0.250035 2 2 6
0.00268506 0.250523 0.250523 2 2 6
0.00268523 0.251011 0.251011 2 2 6
0.00268541 0.2515 0.2515 2 2 6
0.00268559 0.251989 0.251989 2 2 6
0.00268576 0.252478 0.252478 2 2 6
0.00268594 0.252968 0.252968 2 2 6
0.00268611 0.253457 0.253457 2 2 6
0.00268629 0.253947 0.253947 2 2 6
0.00268647 0.254437 0.254437 2 2 6
0.00268664 0.254927 0.254927 2 2 6
0.00268682 0.255418 0.255418 2 2 6
0.00268699 0.255909 0.255909 2 2 6
0.00268717 0.2564 0.2564 2 2 6
0.00268734 0.256891 0.256891 2 2 6
0.00268752 0.257382 0.257382 2 2 6
0.00268769 0.257874 0.257874 2 2 6
0.00268787 0.258366 0.258366 2 2 6
0.00268804 0.258858 0.258858 2 2 6
0.00268822 0.25935 0.25935 2 2 6
0.00268839 0.259842 0.259842 2 2 6
0.00268857 0.260335 0.260335 2 2 6
0.00268874 0.260828 0.260828 2 2 6
0.00268892 0.261321 0.261321 2 2 6
0.00268909 0.261814 0.261814 2 2 6
0.00268927 0.262308 0.262308 2 2 6
0.00268944 0.262801 0.262801 2 2 6
0.00268961 0.263295 0.263295 2 2 6
0.00268979 0.263789 0.263789 2 2 6
0.00268996 0.264284 0.264284 2 2 6
0.00269014 0.264778 0.264778 2 2 6
0.00269031 0.265273 0.265273 2 2 6
0.00269048 0.265767 0.265767 2 2 6
0.00269066 0.266262 0.266262 2 2 6
0.00269083 0.266757 0.266757 2 2 6
